LotDescription,Parent#,Revenue,ParentID,LotID
PT60 - Navy Pants,B005HV4ZMG,282.08,86,552
PT60 - Navy Pants,B005HV52XM,225.77,91,552
PT60 - Navy Pants,B005HV53CC,200.42,93,552
PT60 - Navy Pants,B005HV53PO,73.87,94,552
PT60 - Navy Pants,B005HV4Z62,54.55,85,552
PT60 - Navy Pants,B005HV54I0,42.12,95,552
PT60 - Black Pants,B005HV54Q2,1451.39,96,548
PT60 - Black Pants,B00O4UZ55C,847.0799999999999,415,548
PT60 - Black Pants,B005HV4S32,377.98,81,548
PT60 - Black Pants,B005HV4RO2,371.59,80,548
PT60 - Black Pants,B005HV4RHO,337.48,79,548
PT60 - Black Pants,B005HV4SOG,247.95,83,548
PT60 - Black Pants,B005HV4RBK,235.87,78,548
PT60 - Black Pants,B005HV4SHI,195.93,82,548
PT60 - Black Pants,B005HV4R4M,175.75,77,548
PT60 - Black Pants,B005HV4SYG,148.96,84,548
PT60 - Black Pants,B005HV4QXO,119.95,76,548
PT60 - Khaki Pants,B005HV54Q2,1125.7400000000002,96,551
PT60 - Khaki Pants,B00O4UZ55C,506.14,415,551
PT60 - Brown Pants,B005HV54Q2,660.4300000000001,96,549
PT60 - Brown Pants,B00O4UZ55C,1220.22,415,549
PT60 - Spruce Green Pants,B005HV54Q2,352.57,96,553
PT60 - Spruce Green Pants,B00O4UZ55C,1924.83,415,553
PC45 - Khaki Industrial,B00SBHMCE6,3130.4800000000005,635,418
PC45 - Black Industrial,B00SBHMCE6,1553.35,635,417
PC45 - Navy Industrial,B00SBHMCE6,624.71,635,419
LNS2NV LN XXL - Navy Flame Resistant Outerwear,B00HUA4TDW,3126.9800000000005,342,400
SEK2NV RG 3XL - Navy Flame Resistant Tops,B00HUA65HK,3079.6,353,662
SP66 - White Uniforms Tops,B01AFSIDS2,3046.22,691,966
SP66 - White Uniforms Tops,B01AFSIHMO,898.75,693,966
SP66BT - Medium Blue Uniforms Tops,B01AFSIDS2,722.64,691,967
SP66BT - Medium Blue Uniforms Tops,B01AFSIHMO,2387.58,693,967
SP66BT - Navy Uniforms Tops,B01AFSIDS2,430.91999999999996,691,968
SP66BT - Navy Uniforms Tops,B01AFSIHMO,923.3,693,968
SP66 - Khaki Uniforms Tops,B01AFSIDS2,427.97999999999996,691,965
SP66 - Khaki Uniforms Tops,B01AFSIHMO,1181.32,693,965
PT89 - Navy Industrial,B00SBHMPEI,3027.1800000000003,644,571
PT89 - Black Industrial,B00SBHMPEI,1573.1000000000001,644,569
PT89 - Khaki Industrial,B00SBHMPEI,1074.3,644,570
JT36 - Navy Outerwear,B00O971R7U,3023.67,497,334
TP61 - Navy Accessories,B00O7PCGGU,2924.42,470,1085
TP61 - Royal Blue Accessories,B00O7PCGGU,1304.6599999999999,470,1087
TP61 - Red Accessories,B00O7PCGGU,1287.52,470,1086
TP61 - Black Accessories,B00O7PCGGU,1005.48,470,1082
TP61 - Kelly Green Accessories,B00O7PCGGU,510.07,470,1083
TP61 - Tan Accessories,B00O7PCGGU,438.7,470,1088
TP61 - Light Blue Accessories,B00O7PCGGU,264.92,470,1084
PD60 - Prewash With Yellow/Green Visibility Trim Jeans,B00O4UYUDA,2917.61,401,435
VT22 - Charcoal Vests,B00O971WN4,2889.9700000000003,508,1095
VT22 - Navy Vests,B00O971WN4,1886.73,508,1096
PD52 - Rigid Denim Jeans,B00O4UYS28,2888.5599999999995,398,433
SP18 - Silver/Black Woven Shirts,B00O9731R4,2882.6000000000004,566,881
SP18 - Navy/Post Blue Woven Shirts,B00O9731R4,1474.26,566,879
SP18 - Red/Navy Woven Shirts,B00O9731R4,1457.1,566,880
SMW4HV RG M - Yellow/Green Flame Resistant Tops,B00JIJI0GU,2826.67,385,810
PC44 - Khaki Pants,B00O4UYN6O,2822.4700000000003,391,415
PC44 - Navy Pants,B00O4UYN6O,1501.34,391,416
PC44 - Black Pants,B00O4UYN6O,1364.29,391,414
5020 - Black Uniforms Tops,B00O7PC5IY,2815.9300000000003,458,165
5020 - White Uniforms Tops,B00O7PC5IY,1463.99,458,166
JLJ8NV RG S - Navy Flame Resistant Outerwear,B0078R3IRK,2798.29,106,318
JLJ8NV RG S - Navy Flame Resistant Outerwear,B0078R3PZK,2257.47,107,318
JLJ8NV RG S - Navy Flame Resistant Outerwear,B0078R3UUK,1305.96,108,318
JLJ8NV RG S - Navy Flame Resistant Outerwear,B00HUA3QX6,752.64,330,318
JLJ8NV RG S - Navy Flame Resistant Outerwear,B0078R3GHM,722.92,105,318
JLJ8NV RG S - Navy Flame Resistant Outerwear,B0078R5DR8,722.22,109,318
JLJ8NV RG S - Navy Flame Resistant Outerwear,B00CC4ZHWS,455.98,286,318
JLJ8NV RG S - Navy Flame Resistant Outerwear,B0078R5F12,396.77,110,318
JLJ8NV RG S - Navy Flame Resistant Outerwear,B0078S3ELO,57.27,111,318
JLPCNV RG M - Navy Flame Resistant Outerwear,B00HUA3UW8,2792.36,331,319
SD78 - Denim Woven Shirts,B00O972R74,2788.5099999999998,553,659
SS46WH - White Woven Shirts,B00O973KV6,2786.7799999999997,596,1035
SS46WH - White Woven Shirts,B00AQ4FYZG,46.47,258,1035
SS46WH - White Woven Shirts,B00AQ4FZ7I,36.44,259,1035
SS46WH - White Woven Shirts,B00AQ4FYOW,14.99,257,1035
SS46WH - White Woven Shirts,B00AQ4FYH4,8.03,256,1035
SS46LB - Light Blue Woven Shirts,B00O973KV6,1736.03,596,1034
SS46LB - Light Blue Woven Shirts,B00AQ4FRBW,75.43,254,1034
SS46LB - Light Blue Woven Shirts,B00AQ4FPVY,48.89,252,1034
SS46LB - Light Blue Woven Shirts,B00AQ4FQGS,37.15,253,1034
